ROW20:22.0,22.0,22.0,22.0,22.0,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.8,25.8,25.8,25.8,25.8,25.8,25.8
ROW21:23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,23.9,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,24.9,24.9,24.9
ROW22:24.8,24.8,24.8,24.8,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2
ROW23:25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.1,26.1,26.1,26.1
ROW24:25.8,25.8,25.8,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2
ROW25:25.7,25.7,25.7,25.7,25.7,25.7,25.7,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,26.1,26.1,26.1,26.1,26.1
ROW26:25.9,25.9,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.1
ROW27:25.9,25.9,25.9,25.9,25.9,25.9,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,26.5,26.5,26.5,26.5,26.5,26.5
ROW28:26.4,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.2,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.2,26.2
ROW29:26.0,26.0,26.0,26.0,26.0,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,25.9,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.3,26.3,26.3,26.3,26.3,26.3,26.3
